postal,X,Y,
49821,29830.6365,29838.502,
49822,29827.2639,29843.4121,
49824,29820.2517,29853.1138,
49825,29816.8013,29857.8212,
49826,29813.0573,29862.6875,
49828,29805.8321,29875.8609,
49829,29801.0898,29880.6123,
49830,29798.5622,29884.9417,
49831,29796.275,29889.5671,
49834,29789.4938,29903.9581,
49835,29787.0722,29909.7501,
49836,29784.6367,29915.5482,
49837,29782.7687,29920.9471,
49838,29781.2346,29925.6536,
49839,29779.0904,29930.7214,
49840,29777.695,29936.2269,
49841,29776.1493,29940.9376,
49842,29774.6917,29946.2149,
49843,29773.5106,29952.1522,
49844,29772.3113,29958.0415,
49845,29770.8966,29963.9589,
49846,29770.4768,29970.3025,
49847,29770.5289,29976.8013,
49848,29770.3388,29987.1305,
49849,29770.2112,29991.7222,
49850,29770.0125,29996.2858,
49851,29769.9624,30001.0763,
49852,29770.2617,30006.2865,
49853,29770.5702,30011.5713,
49854,29771.0196,30016.8379,
49855,29771.2587,30022.0595,
49856,29771.5911,30027.2497,
49857,29771.9763,30032.4455,
49858,29771.891,30037.5391,
49859,29771.6952,30042.4413,
49860,29771.4205,30047.6138,
49861,29770.8122,30053.0311,
49863,29770.6765,30063.8635,
49864,29768.89,30068.8657,
49865,29765.8723,30073.5608,
49866,29764.6828,30078.6463,
49867,29763.4878,30083.7068,
49868,29762.3426,30088.756,
49869,29761.0546,30093.7696,
49870,29760.4317,30099.1695,
49907,30137.2885,29812.9328,
49908,30113.4687,29777.3488,
49909,30052.8755,29766.2199,
49910,30114.259,29729.0572,
49944,29697.9705,29517.6763,
49945,29697.9705,29517.6763,
49946,29697.9705,29517.6763,
49948,29697.9705,29517.6763,
49949,NA,NA,
49955,NA,NA,
49959,29659.2085,29510.2089,
49962,29659.2085,29510.2089,
49963,29659.2085,29510.2089,
49964,29659.2085,29510.2089,
49965,29675.5603,29535.5959,
50000,NA,NA,
50004,29070.0793,29361.5961,
50005,29123.1645,29291.4157,
50032,29030.5548,29712.9596,
50034,29003.0474,29833.0544,
50335,29099.0773,29413.9296,
50336,29045.269,29472.8525,
50531,29378.4049,29620.169,
50532,29409.6364,29625.2288,
50533,29342.4223,29666.4762,
50538,29385.3758,29737.6789,
51335,29060.2821,29395.4101,
51531,29391.7807,29746.9226,
52335,29127.3417,29422.8728,
55416,NA,NA,
56850,NA,NA,
58268,29238.0896,30055.2578,
58276,NA,NA,
58280,NA,NA,
58281,29377.0908,30070.1272,
58282,29216.5279,30176.143,
58283,29133.8766,30140.2592,
58284,29483.2222,29838.2318,
58285,29532.7882,29812.3541,
58289,29443.6412,29784.9676,
58327,29368.9503,29571.5356,
58328,29363.7132,29574.7728,
58329,29358.557,29577.9064,
58330,29353.1495,29580.8896,
58331,29347.7367,29583.7101,
58333,29337.2168,29589.816,
58334,29331.8179,29592.7599,
58335,29326.6,29595.9448,
58336,29321.3607,29598.8507,
58337,29316.0394,29601.7884,
58338,29310.6917,29605.0016,
58339,29305.3577,29608.0012,
58340,29300.2051,29610.9694,
58341,29285.3099,29620.5951,
58345,29265.6918,29631.5689,
58348,29246.5951,29642.4932,
58353,29222.6072,29654.3345,
58357,29175.6246,29792.7626,
58358,29186.5252,29799.3948,
58359,29180.9425,29798.0806,
58360,29100.0416,29737.9518,
58400,29695.1006,30075.7227,
58410,29644.7507,30107.7009,
58411,29640.3785,30111.0504,
58412,29635.9863,30114.3986,
58414,29627.5695,30121.3712,
58415,29623.2363,30124.7274,
58416,29685.0928,30153.5098,
58455,29236.6376,29507.4458,
58456,29213.6197,29528.9543,
58457,29234.0426,29502.8125,
58458,NA,NA,
58459,29231.4469,29498.3235,
58460,29209.0629,29521.2908,
58461,29228.7112,29493.971,
58462,29205.9998,29516.2006,
58463,29226.1811,29489.5453,
58464,29202.998,29511.1029,
58466,29199.97,29506.0143,
58467,29220.9069,29480.4098,
58468,29197.013,29500.8623,
